in:GR,in:ST,in:LRR,in:R,out:GR,out:ST,out:LRR,out:R,img
1.7,20,3.4,10,1.7,20,3.4,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST5_LRR4_R0_SIDE_.png
1.8,20,3.4,10,1.8,20,3.4,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST5_LRR4_R0_SIDE_.png
1.9,20,3.4,10,1.9,20,3.4,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST5_LRR4_R0_SIDE_.png
2.0,20,3.4,10,2.0,20,3.4,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST5_LRR4_R0_SIDE_.png
2.1,20,3.4,10,2.1,20,3.4,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST5_LRR4_R0_SIDE_.png
1.6,15,3.5,10,1.6,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST0_LRR5_R0_SIDE_.png
1.7,15,3.5,10,1.7,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST0_LRR5_R0_SIDE_.png
1.8,15,3.5,10,1.8,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST0_LRR5_R0_SIDE_.png
1.9,15,3.5,10,1.9,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST0_LRR5_R0_SIDE_.png
2.0,15,3.5,10,2.0,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST0_LRR5_R0_SIDE_.png
2.1,15,3.5,10,2.1,15,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST0_LRR5_R0_SIDE_.png
1.6,16,3.5,10,1.6,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST1_LRR5_R0_SIDE_.png
1.7,16,3.5,10,1.7,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR1_ST1_LRR5_R0_SIDE_.png
1.8,16,3.5,10,1.8,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR2_ST1_LRR5_R0_SIDE_.png
1.9,16,3.5,10,1.9,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR3_ST1_LRR5_R0_SIDE_.png
2.0,16,3.5,10,2.0,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR4_ST1_LRR5_R0_SIDE_.png
2.1,16,3.5,10,2.1,16,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR5_ST1_LRR5_R0_SIDE_.png
1.6,17,3.5,10,1.6,17,3.5,10,SEA_SNAIL_ARCTIC_SIDE_GR0_ST2_LRR5_R0_SIDE_.png
